0.63;0.5;0.175;1.1105;0.467;0.268;0.329;10
0.63;0.455;0.15;1.1315;0.481;0.2745;0.305;9
0.63;0.48;0.15;1.271;0.6605;0.2425;0.31;11
0.63;0.49;0.225;1.336;0.6805;0.259;0.3245;10
0.635;0.505;0.145;1.1345;0.505;0.2655;0.315;10
0.635;0.51;0.185;1.308;0.544;0.318;0.377;8
0.64;0.515;0.205;1.5335;0.6635;0.3345;0.4025;9
0.645;0.515;0.175;1.546;0.7035;0.365;0.415;10
0.645;0.51;0.155;1.539;0.6405;0.3585;0.43;11
0.645;0.505;0.165;1.318;0.55;0.3015;0.335;11
0.65;0.545;0.175;1.5245;0.59;0.326;0.495;10
0.65;0.515;0.175;1.466;0.677;0.3045;0.4;10
0.65;0.5;0.16;1.3825;0.702;0.304;0.3195;9
0.65;0.485;0.14;1.175;0.475;0.2435;0.215;8
0.655;0.54;0.215;1.5555;0.695;0.296;0.444;11
0.655;0.51;0.215;1.7835;0.8885;0.4095;0.4195;11
0.66;0.505;0.165;1.374;0.589;0.351;0.345;10
0.665;0.515;0.18;1.389;0.5945;0.324;0.395;10
0.67;0.545;0.2;1.7025;0.833;0.374;0.41;11
0.67;0.51;0.175;1.5265;0.651;0.4475;0.345;10
0.67;0.5;0.19;1.519;0.616;0.388;0.415;10
0.68;0.5;0.185;1.741;0.7665;0.3255;0.4685;12
0.68;0.515;0.17;1.6115;0.8415;0.306;0.395;11
0.69;0.525;0.2;1.7825;0.9165;0.3325;0.461;12
0.7;0.55;0.17;1.684;0.7535;0.3265;0.32;11
0.7;0.555;0.2;1.858;0.73;0.3665;0.595;11
0.705;0.56;0.165;1.675;0.797;0.4095;0.388;10
0.72;0.565;0.2;2.1055;1.017;0.363;0.494;12
0.725;0.575;0.24;2.21;1.351;0.413;0.5015;13
0.74;0.57;0.18;1.8725;0.9115;0.427;0.446;10
0.75;0.55;0.18;1.893;0.942;0.397;0.445;11
0.21;0.17;0.045;0.0475;0.019;0.011;0.013;5
0.285;0.21;0.055;0.101;0.0415;0.017;0.0335;5
0.295;0.215;0.07;0.121;0.047;0.0155;0.0405;6
0.3;0.23;0.085;0.117;0.05;0.0175;0.0415;6
0.305;0.225;0.09;0.1465;0.063;0.034;0.0415;6
0.335;0.255;0.08;0.168;0.079;0.0355;0.05;5
0.35;0.26;0.075;0.18;0.09;0.0245;0.055;5
0.355;0.27;0.075;0.1775;0.079;0.0315;0.054;6
0.355;0.26;0.09;0.1985;0.0715;0.0495;0.058;7
0.36;0.27;0.095;0.2;0.073;0.056;0.061;8
0.36;0.275;0.075;0.2205;0.0985;0.044;0.066;7
0.36;0.265;0.075;0.1845;0.083;0.0365;0.055;7
0.365;0.27;0.085;0.2225;0.0935;0.0525;0.066;7
0.37;0.27;0.095;0.2175;0.097;0.046;0.065;6
0.375;0.28;0.08;0.2165;0.0935;0.0925;0.07;7
0.38;0.285;0.095;0.243;0.0895;0.0665;0.075;7
