LE3;course;mother;3;2;yes;no;16
GT3;reputation;mother;1;4;yes;no;12
GT3;course;mother;1;4;yes;no;10
LE3;reputation;mother;2;2;yes;no;11
LE3;reputation;father;2;4;yes;no;15
GT3;reputation;father;2;4;yes;no;11
GT3;course;mother;1;4;no;no;10
GT3;reputation;mother;1;2;yes;no;11
GT3;reputation;mother;1;1;no;no;14
GT3;home;mother;1;2;yes;no;11
GT3;home;mother;1;2;yes;no;11
GT3;course;mother;2;4;no;no;11
GT3;reputation;mother;1;4;no;no;13
GT3;home;mother;2;1;yes;no;10
GT3;course;mother;1;2;yes;no;11
GT3;course;father;1;1;yes;no;12
GT3;home;mother;1;3;no;no;9
LE3;reputation;mother;1;2;yes;no;11
LE3;home;mother;2;2;no;yes;13
GT3;home;father;1;2;yes;no;12
GT3;reputation;father;2;2;no;no;12
LE3;course;mother;1;2;yes;no;11
GT3;reputation;mother;1;3;yes;no;15
GT3;reputation;father;2;2;no;no;11
LE3;reputation;mother;1;2;yes;no;10
GT3;home;mother;1;3;yes;no;11
GT3;reputation;mother;1;1;no;no;13
LE3;home;father;1;2;yes;no;12
GT3;home;mother;2;2;yes;no;14
LE3;reputation;mother;1;4;yes;no;12
GT3;home;mother;2;4;yes;yes;13
GT3;reputation;mother;2;1;yes;yes;11
GT3;course;mother;1;2;yes;no;12
GT3;reputation;mother;1;1;no;no;13
GT3;course;mother;1;3;yes;no;13
GT3;other;mother;1;1;yes;no;8
GT3;other;father;1;3;yes;no;16
GT3;course;mother;1;1;yes;yes;12
GT3;home;mother;2;2;yes;no;10
GT3;course;mother;1;2;yes;no;16
GT3;reputation;father;1;4;no;no;10
GT3;course;mother;1;4;yes;no;10
GT3;home;father;1;3;yes;no;14
GT3;home;father;4;4;yes;no;11
LE3;other;mother;1;3;yes;no;14
LE3;course;mother;1;1;no;no;14
GT3;reputation;father;1;3;yes;no;11
GT3;home;mother;1;2;no;no;10
LE3;course;mother;1;1;no;no;18
GT3;reputation;mother;1;2;no;no;10
GT3;course;father;1;2;yes;no;14
GT3;reputation;father;2;2;yes;no;16
GT3;home;father;2;1;no;no;15
GT3;course;father;3;2;yes;no;11
GT3;reputation;father;1;1;no;no;14
GT3;course;mother;1;2;no;no;14
GT3;home;father;1;4;yes;no;13
LE3;course;father;2;2;yes;no;13
GT3;course;mother;1;1;yes;no;13
GT3;home;mother;1;2;no;no;11
GT3;home;father;1;1;no;no;9
LE3;home;mother;1;2;no;no;11
GT3;course;other;1;2;yes;no;11
GT3;course;mother;1;1;no;no;15
GT3;course;mother;2;3;yes;no;13
